//コマンド,パラメータ1,パラメータ2,パラメータ3
POP,-14,0,23
POP,2,0,-60
POP,4,0,-60
POP,6,0,-60
POP,8,0,-60
POP,10,0,-60
POP,12,0,-60
POP,14,0,-60
POP,16,0,-60
POP,18,0,-60
POP,-18,0,61
POP,-18,0,59
POP,-18,0,57
POP,-18,0,55
POP,-18,0,53
POP,-18,0,51
POP,-18,0,49
POP,-18,0,47
POP,-18,0,45
POP,-18,0,43
POP,-18,0,41
POP,-18,0,39
POP,-18,0,37
POP,-18,0,35
POP,-18,0,33
POP,-18,0,31
POP,-18,0,29
POP,-16,0,29
POP,-14,0,29
POP,-12,0,29
POP,-10,0,29
POP,-8,0,29
POP,-6,0,29
POP,-4,0,29
POP,-2,0,29
POP,0,0,29
POP,2,0,29
POP,4,0,29
POP,6,0,29
POP,8,0,29
POP,10,0,29
POP,12,0,29
POP,14,0,29
POP,16,0,29
POP,18,0,29
POP,18,0,31
POP,18,0,33
POP,18,0,35
POP,18,0,37
POP,18,0,39
POP,18,0,41
POP,18,0,43
POP,18,0,45
POP,18,0,47
POP,18,0,49
POP,18,0,51
POP,18,0,53
POP,18,0,55
POP,18,0,57
POP,18,0,59
POP,18,0,61
